,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time
2931,815.62,0.068297343,0.349121439,18.26,0.007815103,0.014050245,0.004281282,0.01,0.008731604,96.9,0.431469028,0.089125332
2932,815.62,0.06896018,0.373163563,32.17,0.014719229,0.010792017,0.00503087,0.02,0.007741213,95.6,0.45291576,0.096451493
2933,815.62,0.088685411,0.453833129,24.8,0.013801917,0.008372307,0.004398823,0.01,0.005659819,96.7,0.550890846,0.112545969
2934,815.62,0.082663462,0.338557237,18.28,0.007589163,0.011595249,0.004445791,0.02,0.008247137,94.7,0.432815948,0.102945553
2935,815.62,0.073714608,0.500256299,22.17,0.013598921,0.015039682,0.00442028,0.01,0.009792328,94.9,0.589010589,0.101526137
2936,815.62,0.098309774,0.536907556,34.59,0.022769715,0.011621714,0.004456043,0.01,0.010284185,96,0.646839043,0.135819717
2937,815.62,0.078015365,0.397131837,29.68,0.014451186,0.010036945,0.00429678,0.02,0.012439728,94.2,0.485184148,0.109203059
2938,815.62,0.07992862,0.4949229,35.29,0.021415845,0.010493755,0.004371405,0.01,0.00719285,96.8,0.585345275,0.112908719
2939,815.62,0.071987988,0.467539349,17.71,0.010149052,0.011615992,0.005453587,0.01,0.006417513,95.8,0.551143328,0.09400814
2940,815.62,0.070173077,0.343058862,19.76,0.008309484,0.015277624,0.004431486,0.02,0.007535934,95.6,0.428509563,0.090449981
2941,815.62,0.073532073,0.354728034,36.84,0.016023922,0.009325504,0.004365444,0.01,0.013788223,95.1,0.437585611,0.107709662
2942,815.62,0.069469698,0.494811934,20.06,0.012168866,0.011532307,0.004435778,0.01,0.006517649,94.7,0.575813938,0.092591991
2943,815.62,0.069422626,0.357200111,31.61,0.013845353,0.009961843,0.005521059,0.02,0.006632328,97.8,0.43658458,0.095421366
2944,815.62,0.06971476,0.36944781,40.62,0.018399403,0.009462833,0.004277706,0.01,0.008318901,95.9,0.448625403,0.10071077
2945,815.62,0.074995024,0.531880057,31.72,0.020684224,0.00993228,0.004393101,0.01,0.005532742,93,0.61680736,0.105605091
2946,815.62,0.06820225,0.3667876,24.26,0.010908769,0.010105371,0.004303455,0.02,0.007686377,95.9,0.445095221,0.091100851
2947,815.62,0.080145056,0.480877732,33.66,0.019847722,0.011567116,0.004257441,0.01,0.013235331,96.2,0.572589904,0.117485549
2948,815.62,0.081214097,0.410735557,10.14,0.005106655,0.011850595,0.005487442,0.01,0.015310049,97,0.503800249,0.107118242
2949,815.62,0.101937903,0.452769112,46.93,0.026049403,0.011296988,0.004295826,0.01,0.008213043,96.8,0.566004003,0.140496176
2950,815.62,0.085086642,0.372845121,11.17,0.005106978,0.010839939,0.004361868,0.02,0.008396149,96.6,0.468771702,0.102951637
2951,815.62,0.083156597,0.486310343,22.83,0.013610518,0.015621662,0.004317045,0.01,0.019179583,95.5,0.585088602,0.120263742
2952,815.62,0.097213181,0.4459206,22.92,0.012528169,0.011061192,0.004243135,0.01,0.006800652,94.6,0.554194973,0.120785137
